date,1. open,2. high,3. low,4. close,5. volume
2020-08-03 05:44:00,427.24,427.24,427.18,427.19,740.0
2020-08-03 05:58:00,427.15,427.15,427.06,427.06,738.0
2020-08-03 06:03:00,427.06,427.18,427.06,427.18,457.0
2020-08-03 06:08:00,427.49,427.6,427.49,427.6,1466.0
2020-08-03 06:13:00,427.5,427.5,427.5,427.5,786.0
2020-08-03 06:14:00,427.5,427.5,427.5,427.5,1076.0
2020-08-03 06:15:00,427.74,427.8,427.74,427.8,2255.0
2020-08-03 06:18:00,427.7,427.7,427.7,427.7,581.0
2020-08-03 06:19:00,427.63,427.7,427.63,427.7,1450.0
2020-08-03 06:22:00,427.69,427.93,427.69,427.93,810.0
2020-08-03 06:23:00,428.0,428.01,428.0,428.0,1385.0
2020-08-03 06:24:00,428.25,428.37,428.1,428.1,1786.0
2020-08-03 06:25:00,428.02,428.32,428.02,428.19,2388.0
2020-08-03 06:26:00,428.18,428.2,428.18,428.2,662.0
2020-08-03 06:28:00,428.23,428.3,428.07,428.07,1513.0
2020-08-03 06:29:00,428.06,428.27,428.06,428.27,1350.0
2020-08-03 06:30:00,428.37,428.48,428.37,428.45,1529.0
2020-08-03 06:31:00,428.44,428.44,428.44,428.44,117.0
2020-08-03 06:32:00,428.41,428.51,428.41,428.51,5233.0
2020-08-03 06:33:00,428.53,428.53,428.52,428.52,335.0
2020-08-03 06:34:00,428.5,428.52,428.5,428.5,760.0
2020-08-03 06:36:00,428.14,428.14,428.13,428.13,401.0
2020-08-03 06:37:00,428.47,428.78,428.47,428.78,1453.0
2020-08-03 06:40:00,428.7,428.7,428.7,428.7,341.0
2020-08-03 06:42:00,428.8,428.8,428.8,428.8,369.0
2020-08-03 06:43:00,428.88,428.9,428.88,428.9,301.0
2020-08-03 06:47:00,428.8,428.8,428.8,428.8,407.0
2020-08-03 06:48:00,428.8,428.8,428.7,428.7,510.0
2020-08-03 06:49:00,428.89,429.0,428.89,429.0,1769.0
2020-08-03 06:51:00,429.15,429.2,429.15,429.15,7534.0
2020-08-03 06:52:00,429.1,429.4,429.1,429.4,4427.0
2020-08-03 06:53:00,429.21,429.48,429.21,429.48,621.0
2020-08-03 06:54:00,429.24,429.24,429.24,429.24,263.0
2020-08-03 06:55:00,429.29,429.29,429.29,429.29,848.0
2020-08-03 06:56:00,429.4,429.4,429.4,429.4,491.0
2020-08-03 06:57:00,429.4,429.4,429.4,429.4,560.0
2020-08-03 06:59:00,429.17,429.26,429.17,429.26,693.0
2020-08-03 07:00:00,429.25,429.25,429.2,429.2,3783.0
2020-08-03 07:01:00,429.2,430.74,429.2,430.38,28918.0
2020-08-03 07:02:00,430.38,430.88,430.2,430.79,28181.0
2020-08-03 07:03:00,430.82,431.65,430.8,430.9,33328.0
2020-08-03 07:04:00,430.85,431.13,430.56,431.0,15169.0
2020-08-03 07:05:00,430.97,431.25,430.97,431.25,6952.0
2020-08-03 07:06:00,431.25,431.3,431.08,431.25,8808.0
2020-08-03 07:07:00,431.3,431.6,431.3,431.4,5987.0
2020-08-03 07:08:00,431.09,431.34,430.8,430.85,13973.0
2020-08-03 07:09:00,430.91,430.91,430.65,430.7,3118.0
2020-08-03 07:10:00,430.65,430.84,430.58,430.84,12413.0
2020-08-03 07:11:00,430.79,431.28,430.79,431.28,13134.0
2020-08-03 07:12:00,431.28,431.61,431.28,431.6,8682.0
2020-08-03 07:13:00,431.6,431.75,431.5,431.65,12464.0
2020-08-03 07:14:00,431.71,431.9,431.66,431.79,11246.0
2020-08-03 07:15:00,431.73,431.73,431.49,431.49,15186.0
2020-08-03 07:16:00,431.35,431.43,431.0,431.3,7890.0
2020-08-03 07:17:00,431.18,431.7,431.18,431.69,9568.0
2020-08-03 07:18:00,431.7,431.75,431.5,431.7,9561.0
2020-08-03 07:19:00,431.61,431.61,431.5,431.51,7402.0
2020-08-03 07:20:00,431.49,431.75,431.49,431.64,5796.0
2020-08-03 07:21:00,431.55,431.6,431.5,431.6,4760.0
2020-08-03 07:22:00,431.75,431.99,431.75,431.99,6007.0
2020-08-03 07:23:00,431.98,432.28,431.69,431.87,12048.0
2020-08-03 07:24:00,431.75,431.88,431.55,431.69,10444.0
2020-08-03 07:25:00,431.66,431.75,431.6,431.7,3473.0
2020-08-03 07:26:00,431.74,431.75,431.5,431.64,7950.0
2020-08-03 07:27:00,431.54,431.54,431.2,431.2,7459.0
2020-08-03 07:28:00,431.2,431.349,431.12,431.2,5413.0
2020-08-03 07:29:00,431.22,431.4,431.22,431.4,3813.0
2020-08-03 07:30:00,431.56,431.56,431.5,431.5,965.0
2020-08-03 07:31:00,431.62,431.87,431.62,431.87,6190.0
2020-08-03 07:32:00,431.72,431.86,431.71,431.85,6334.0
2020-08-03 07:33:00,431.87,432.1,431.87,432.1,7276.0
2020-08-03 07:34:00,432.2,432.51,432.2,432.5,10238.0
2020-08-03 07:35:00,432.55,432.74,432.4,432.4,12588.0
2020-08-03 07:36:00,432.49,432.6,432.37,432.55,12482.0
2020-08-03 07:37:00,432.67,432.8,432.55,432.74,15851.0
2020-08-03 07:38:00,432.6,432.67,432.5,432.62,5669.0
2020-08-03 07:39:00,432.65,433.17,432.65,433.11,10499.0
2020-08-03 07:40:00,433.02,433.03,432.77,432.87,12831.0
2020-08-03 07:41:00,432.9,432.9,432.5,432.5,6141.0
2020-08-03 07:42:00,432.51,432.7,432.32,432.59,7832.0
2020-08-03 07:43:00,432.5,432.5,432.01,432.24,6344.0
2020-08-03 07:44:00,432.17,432.5,432.17,432.4,4567.0
2020-08-03 07:45:00,432.49,432.59,432.49,432.59,3690.0
2020-08-03 07:46:00,432.6,432.6,432.4,432.4,4305.0
2020-08-03 07:47:00,432.46,432.46,432.1,432.1,4189.0
2020-08-03 07:48:00,432.05,432.15,432.01,432.15,5861.0
2020-08-03 07:49:00,432.2,432.45,432.17,432.17,2373.0
2020-08-03 07:50:00,432.25,432.25,432.01,432.01,6740.0
2020-08-03 07:51:00,432.1,432.43,432.03,432.43,9835.0
2020-08-03 07:52:00,432.42,432.43,432.2,432.3,3847.0
2020-08-03 07:53:00,432.35,432.35,432.3,432.3,4739.0
2020-08-03 07:54:00,432.18,432.18,432.05,432.06,4536.0
2020-08-03 07:55:00,432.2,432.2,432.01,432.01,3219.0
2020-08-03 07:56:00,432.01,432.01,431.53,431.6,17154.0
2020-08-03 07:57:00,431.6,431.6,431.26,431.45,10264.0
2020-08-03 07:58:00,431.32,431.6,431.32,431.6,4455.0
2020-08-03 07:59:00,431.67,431.67,431.57,431.57,941.0
2020-08-03 08:00:00,431.61,431.61,431.5,431.5,7303.0
2020-08-03 08:01:00,431.2803,433.18,429.5,431.32,155736.0
2020-08-03 08:02:00,431.33,431.33,431.01,431.21,15282.0
2020-08-03 08:03:00,431.31,431.31,430.99,430.99,19356.0
2020-08-03 08:04:00,430.99,431.25,430.55,431.1,19433.0
2020-08-03 08:05:00,431.1101,431.2437,430.65,431.19,12292.0
2020-08-03 08:06:00,431.17,431.19,431.0,431.09,6955.0
2020-08-03 08:07:00,431.1,431.45,431.0,431.45,8441.0
2020-08-03 08:08:00,431.4,431.97,431.4,431.97,10497.0
2020-08-03 08:09:00,431.49,431.65,431.45,431.47,8863.0
2020-08-03 08:10:00,431.46,431.7,431.45,431.4724,13133.0
2020-08-03 08:11:00,431.45,431.5,431.0,431.0,15250.0
2020-08-03 08:12:00,431.0,431.376,430.99,431.11,3782.0
2020-08-03 08:13:00,431.25,431.35,431.2,431.35,3409.0
2020-08-03 08:14:00,431.5001,431.66,431.5,431.66,3818.0
2020-08-03 08:15:00,431.66,431.98,431.66,431.98,6660.0
2020-08-03 08:16:00,432.0,432.2,431.93,432.003,7881.0
2020-08-03 08:17:00,432.01,432.2,431.9999,432.166,10165.0
2020-08-03 08:18:00,432.18,432.35,432.0,432.35,7901.0
2020-08-03 08:19:00,432.3,432.35,432.0,432.08,10070.0
2020-08-03 08:20:00,432.0,432.15,431.81,432.15,18049.0
2020-08-03 08:21:00,432.07,432.19,431.95,432.1,8157.0
2020-08-03 08:22:00,432.0,432.0,431.8,431.8,4079.0
2020-08-03 08:23:00,431.93,431.93,431.6081,431.69,4407.0
2020-08-03 08:24:00,431.75,431.85,431.75,431.85,3928.0
2020-08-03 08:25:00,431.89,432.1,431.88,432.1,6062.0
2020-08-03 08:26:00,432.1,432.25,432.1,432.15,3109.0
2020-08-03 08:27:00,432.1601,432.25,432.0,432.1028,6145.0
2020-08-03 08:28:00,432.1062,432.1062,432.01,432.0101,4190.0
2020-08-03 08:29:00,432.01,432.18,432.01,432.1,4301.0
2020-08-03 08:30:00,432.1,432.12,431.9,431.92,17144.0
2020-08-03 08:31:00,431.92,432.15,431.92,432.1,4607.0
2020-08-03 08:32:00,432.11,432.19,432.01,432.09,4443.0
2020-08-03 08:33:00,432.06,432.22,432.06,432.12,8284.0
2020-08-03 08:34:00,432.08,432.15,431.85,431.85,7876.0
2020-08-03 08:35:00,431.8,431.99,431.8,431.85,6196.0
2020-08-03 08:36:00,431.9,431.9,431.69,431.69,6654.0
2020-08-03 08:37:00,431.75,431.92,431.75,431.7519,6445.0
2020-08-03 08:38:00,431.75,431.9,431.75,431.9,3927.0
2020-08-03 08:39:00,431.9,432.0,431.85,432.0,6652.0
2020-08-03 08:40:00,432.0,432.0002,431.81,431.9,5872.0
2020-08-03 08:41:00,431.9,432.5,431.9,432.5,20205.0
2020-08-03 08:42:00,432.5,432.8,432.3,432.5,14034.0
2020-08-03 08:43:00,432.42,432.8,432.42,432.66,10222.0
2020-08-03 08:44:00,432.74,432.95,432.74,432.9,14771.0
2020-08-03 08:45:00,432.86,432.86,432.41,432.48,20757.0
2020-08-03 08:46:00,432.42,432.68,432.41,432.57,5181.0
2020-08-03 08:47:00,432.68,432.75,432.66,432.7,5000.0
2020-08-03 08:48:00,432.75,432.95,432.68,432.9399,13232.0
2020-08-03 08:49:00,432.8,432.95,432.5,432.5623,12363.0
2020-08-03 08:50:00,432.5798,432.8999,432.5798,432.8,6330.0
2020-08-03 08:51:00,432.75,432.9,432.7,432.7,8926.0
2020-08-03 08:52:00,432.69,432.83,432.69,432.75,6139.0
2020-08-03 08:53:00,432.73,432.8,432.5106,432.5301,8040.0
2020-08-03 08:54:00,432.54,432.75,432.25,432.59,12494.0
2020-08-03 08:55:00,432.65,432.682,432.5,432.68,4612.0
2020-08-03 08:56:00,432.68,432.7001,432.67,432.7,5257.0
2020-08-03 08:57:00,432.69,432.75,432.5677,432.69,4221.0
2020-08-03 08:58:00,432.53,432.88,432.5,432.88,8043.0
2020-08-03 08:59:00,432.7897,432.89,432.6,432.7,10198.0
2020-08-03 09:00:00,432.71,432.85,432.6,432.6,10546.0
2020-08-03 09:01:00,432.6774,432.77,432.6774,432.68,5666.0
2020-08-03 09:02:00,432.6026,432.7,432.5729,432.7,8359.0
2020-08-03 09:03:00,432.7,432.95,432.5801,432.94,9641.0
2020-08-03 09:04:00,432.8237,433.5,432.8237,433.5,27390.0
2020-08-03 09:05:00,433.39,433.6,433.22,433.2201,23941.0
2020-08-03 09:06:00,433.4194,433.4194,432.94,433.14,17432.0
2020-08-03 09:07:00,433.14,433.42,433.1,433.42,8513.0
2020-08-03 09:08:00,433.25,433.42,432.52,432.8417,24644.0
2020-08-03 09:09:00,432.6,432.79,432.5,432.6,7437.0
2020-08-03 09:10:00,432.7399,432.84,432.64,432.8,5231.0
2020-08-03 09:11:00,432.7,432.79,432.37,432.37,12005.0
2020-08-03 09:12:00,432.4899,432.4899,432.1,432.2,17932.0
2020-08-03 09:13:00,432.15,432.3,432.15,432.3,5061.0
2020-08-03 09:14:00,432.2,432.29,432.19,432.21,5812.0
2020-08-03 09:15:00,432.28,432.48,432.28,432.42,7260.0
2020-08-03 09:16:00,432.35,432.4,432.2,432.2,5261.0
2020-08-03 09:17:00,432.23,432.35,431.51,431.71,28559.0
2020-08-03 09:18:00,431.58,431.75,431.55,431.6,13531.0
2020-08-03 09:19:00,431.74,431.75,431.51,431.51,11162.0
2020-08-03 09:20:00,431.51,431.68,431.25,431.25,20833.0
2020-08-03 09:21:00,431.44,431.82,431.27,431.82,10793.0
2020-08-03 09:22:00,431.7,431.9,431.7,431.7,5766.0
2020-08-03 09:23:00,431.81,432.09,431.81,432.0,12923.0
2020-08-03 09:24:00,432.0,432.2,431.52,431.6,14249.0
2020-08-03 09:25:00,431.5,431.89,431.5,431.89,8680.0
2020-08-03 09:26:00,431.75,431.86,431.7,431.7,4796.0
2020-08-03 09:27:00,431.8,431.8,431.26,431.5,12030.0
2020-08-03 09:28:00,431.24,431.6,431.0,431.4,18721.0
2020-08-03 09:29:00,431.3,434.0,431.3,432.94,112584.0
2020-08-03 09:30:00,432.94,433.25,432.53,433.25,43069.0
2020-08-03 09:31:00,432.8,433.37,431.7,432.31,1900202.0
2020-08-03 09:32:00,432.28,435.5,431.57,435.2299,926069.0
2020-08-03 09:33:00,435.15,436.77,434.28,436.6239,678614.0
2020-08-03 09:34:00,436.595,436.88,435.69,436.327,680959.0
2020-08-03 09:35:00,436.3196,437.88,436.1905,437.72,671541.0
2020-08-03 09:36:00,437.6711,438.91,437.65,438.7301,896182.0
2020-08-03 09:37:00,438.7,438.76,437.87,438.725,513049.0
2020-08-03 09:38:00,438.6701,438.7002,437.31,437.41,581865.0
2020-08-03 09:39:00,437.5299,438.75,437.46,438.72,388077.0
2020-08-03 09:40:00,438.6,441.0,438.6,439.11,690184.0
2020-08-03 09:41:00,439.06,440.69,439.06,440.645,628196.0
2020-08-03 09:42:00,440.65,442.85,440.54,442.65,783877.0
2020-08-03 09:43:00,442.6,443.8665,441.98,443.849,760428.0
2020-08-03 09:44:00,443.8486,443.86,441.78,442.0184,826530.0
2020-08-03 09:45:00,442.04,442.46,441.43,442.21,544988.0
2020-08-03 09:46:00,442.1587,443.5,442.12,443.395,465060.0
2020-08-03 09:47:00,443.45,444.7,443.18,444.6612,616463.0
2020-08-03 09:48:00,444.635,444.72,443.25,443.6601,548610.0
2020-08-03 09:49:00,443.6957,443.75,442.51,442.6,504956.0
2020-08-03 09:50:00,442.67,442.9599,441.0,441.3372,616011.0
2020-08-03 09:51:00,441.34,442.78,441.34,442.54,434027.0
2020-08-03 09:52:00,442.6,443.0598,441.85,442.73,368732.0
2020-08-03 09:53:00,442.772,443.45,442.02,442.18,420647.0
2020-08-03 09:54:00,442.2199,442.3961,441.22,441.6563,348735.0
2020-08-03 09:55:00,441.69,441.92,440.69,441.38,397465.0
2020-08-03 09:56:00,441.435,441.74,441.24,441.4,257189.0
2020-08-03 09:57:00,441.39,442.49,441.34,442.0898,358596.0
2020-08-03 09:58:00,442.06,442.26,441.5,441.66,234052.0
2020-08-03 09:59:00,441.7,441.79,440.49,441.48,418340.0
2020-08-03 10:00:00,441.3901,442.3999,441.32,442.18,321907.0
2020-08-03 10:01:00,442.12,444.7,442.11,444.25,704207.0
2020-08-03 10:02:00,444.24,446.18,443.65,446.0801,676796.0
2020-08-03 10:03:00,446.13,446.5457,445.37,446.4669,515806.0
2020-08-03 10:04:00,446.42,446.4899,445.12,445.315,453592.0
2020-08-03 10:05:00,445.319,445.76,444.68,445.1,421261.0
2020-08-03 10:06:00,445.1999,445.57,444.44,444.45,409112.0
2020-08-03 10:07:00,444.4666,445.0399,444.18,444.9645,337520.0
2020-08-03 10:08:00,444.93,444.98,444.24,444.44,231606.0
2020-08-03 10:09:00,444.6128,444.7,443.31,443.48,438910.0
2020-08-03 10:10:00,443.4999,444.02,443.11,443.955,318251.0
2020-08-03 10:11:00,443.9311,444.2362,443.52,443.83,249372.0
2020-08-03 10:12:00,443.83,444.02,443.01,443.18,314450.0
2020-08-03 10:13:00,443.16,443.56,442.79,442.9602,303049.0
2020-08-03 10:14:00,442.975,443.0,442.41,442.6648,233647.0
2020-08-03 10:15:00,442.66,443.0998,442.3,442.77,269982.0
2020-08-03 10:16:00,442.77,442.9,441.28,441.4,368516.0
2020-08-03 10:17:00,441.37,441.57,440.69,440.79,398693.0
2020-08-03 10:18:00,440.78,441.65,440.6501,440.91,361702.0
2020-08-03 10:19:00,440.9307,442.1999,440.8,441.86,368020.0
2020-08-03 10:20:00,441.8412,441.885,441.3036,441.47,221674.0
2020-08-03 10:21:00,441.5,441.82,441.06,441.33,243626.0
2020-08-03 10:22:00,441.345,441.45,440.5901,440.71,322231.0
2020-08-03 10:23:00,440.74,441.27,440.3014,440.98,320142.0
2020-08-03 10:24:00,440.98,441.15,439.88,440.3161,504155.0
2020-08-03 10:25:00,440.319,440.7844,440.0,440.5462,304978.0
2020-08-03 10:26:00,440.55,441.44,440.22,440.92,344381.0
2020-08-03 10:27:00,440.8754,441.09,440.5,440.8,260270.0
2020-08-03 10:28:00,440.79,441.64,440.58,441.28,323554.0
2020-08-03 10:29:00,441.31,441.33,440.36,440.58,248585.0
2020-08-03 10:30:00,440.58,440.62,438.94,439.3099,463557.0
2020-08-03 10:31:00,439.3058,439.4399,438.68,438.88,363689.0
2020-08-03 10:32:00,438.8852,439.1829,438.55,439.02,359835.0
2020-08-03 10:33:00,439.01,439.46,438.43,438.96,378723.0
2020-08-03 10:34:00,439.08,439.25,438.4,438.905,222885.0
2020-08-03 10:35:00,438.89,439.83,438.8535,439.81,315074.0
2020-08-03 10:36:00,439.826,440.32,439.51,440.175,282881.0
2020-08-03 10:37:00,440.16,440.18,439.495,440.005,219370.0
2020-08-03 10:38:00,439.91,440.55,439.61,440.52,222048.0
2020-08-03 10:39:00,440.49,440.87,440.23,440.87,266667.0
2020-08-03 10:40:00,440.87,441.28,440.5502,440.94,285910.0
2020-08-03 10:41:00,440.91,441.025,440.37,440.44,230979.0
2020-08-03 10:42:00,440.456,440.4741,439.8,440.0,187545.0
2020-08-03 10:43:00,439.98,440.0485,438.71,438.75,319762.0
2020-08-03 10:44:00,438.79,439.06,438.41,438.495,253319.0
2020-08-03 10:45:00,438.51,439.04,437.83,437.91,314298.0
2020-08-03 10:46:00,437.915,438.165,437.5,437.69,363260.0
2020-08-03 10:47:00,437.64,437.74,437.0645,437.2524,339884.0
2020-08-03 10:48:00,437.28,437.665,436.81,437.1358,338901.0
2020-08-03 10:49:00,437.18,437.4403,436.52,436.693,280421.0
2020-08-03 10:50:00,436.68,437.0,436.28,436.28,247602.0
2020-08-03 10:51:00,436.31,437.39,436.2802,437.1496,359916.0
2020-08-03 10:52:00,437.115,440.0,437.03,437.6011,285230.0
2020-08-03 10:53:00,437.616,437.64,436.8074,436.88,206576.0
2020-08-03 10:54:00,436.88,437.25,436.4,436.9473,202318.0
2020-08-03 10:55:00,436.9473,437.31,436.64,437.18,187020.0
2020-08-03 10:56:00,437.18,438.5,437.0201,438.25,396808.0
2020-08-03 10:57:00,438.24,438.63,438.2,438.3762,294877.0
2020-08-03 10:58:00,438.38,439.11,438.32,438.596,267373.0
2020-08-03 10:59:00,438.63,438.92,438.3937,438.4,190160.0
2020-08-03 11:00:00,438.38,438.68,438.01,438.2,263141.0
2020-08-03 11:01:00,438.23,438.78,437.72,438.7285,220647.0
2020-08-03 11:02:00,438.7,439.68,438.6393,439.15,314363.0
2020-08-03 11:03:00,439.1758,439.82,439.07,439.77,199873.0
2020-08-03 11:04:00,439.74,440.03,439.71,439.83,234751.0
2020-08-03 11:05:00,439.85,439.97,439.4301,439.74,200551.0
2020-08-03 11:06:00,439.73,439.97,439.13,439.4708,191528.0
2020-08-03 11:07:00,439.44,439.59,439.26,439.266,117107.0
2020-08-03 11:08:00,439.3,439.41,438.99,439.04,169207.0
2020-08-03 11:09:00,439.02,439.65,439.0101,439.35,123633.0
2020-08-03 11:10:00,439.36,439.95,439.3,439.95,133579.0
2020-08-03 11:11:00,439.95,440.66,439.9202,440.26,275077.0
2020-08-03 11:12:00,440.2441,440.4599,439.78,440.04,187153.0
2020-08-03 11:13:00,440.075,440.369,440.07,440.2243,210928.0
2020-08-03 11:14:00,440.24,440.45,439.77,439.77,159764.0
2020-08-03 11:15:00,439.77,440.3069,439.32,439.9384,205067.0
2020-08-03 11:16:00,439.91,439.97,438.88,439.03,183069.0
2020-08-03 11:17:00,439.05,439.39,439.01,439.12,96070.0
2020-08-03 11:18:00,439.1424,439.27,438.85,439.12,111610.0
2020-08-03 11:19:00,439.09,439.5169,438.91,439.415,103928.0
2020-08-03 11:20:00,439.36,439.67,439.21,439.65,97735.0
2020-08-03 11:21:00,439.66,439.85,439.42,439.7,96292.0
2020-08-03 11:22:00,439.69,439.75,439.3,439.3,77707.0
2020-08-03 11:23:00,439.28,439.4,438.79,438.9308,126786.0
2020-08-03 11:24:00,438.95,439.11,438.58,438.58,94548.0
2020-08-03 11:25:00,438.585,438.72,438.3401,438.6189,128443.0
2020-08-03 11:26:00,438.59,439.1,438.53,439.015,113621.0
2020-08-03 11:27:00,439.015,439.23,438.96,439.215,89428.0
2020-08-03 11:28:00,439.21,439.312,439.01,439.1936,96604.0
2020-08-03 11:29:00,439.2,439.48,439.0273,439.325,73980.0
2020-08-03 11:30:00,439.31,439.37,439.0251,439.27,81010.0
2020-08-03 11:31:00,439.325,439.4,439.05,439.06,79195.0
2020-08-03 11:32:00,439.07,439.31,439.04,439.17,76768.0
2020-08-03 11:33:00,439.1025,439.15,438.52,438.5661,122550.0
2020-08-03 11:34:00,438.57,438.61,438.14,438.19,127519.0
2020-08-03 11:35:00,438.196,438.37,437.7,437.88,188947.0
2020-08-03 11:36:00,437.89,438.03,437.67,437.8299,134482.0
2020-08-03 11:37:00,437.825,437.88,437.26,437.47,163461.0
2020-08-03 11:38:00,437.51,437.64,436.91,437.09,175326.0
2020-08-03 11:39:00,437.06,437.9,437.0378,437.855,155054.0
2020-08-03 11:40:00,437.855,438.21,437.79,438.135,136705.0
2020-08-03 11:41:00,438.18,438.84,438.11,438.83,122107.0
2020-08-03 11:42:00,438.82,438.86,438.52,438.63,109206.0
2020-08-03 11:43:00,438.62,438.84,438.32,438.4035,115904.0
2020-08-03 11:44:00,438.4068,438.75,438.2301,438.28,145155.0
2020-08-03 11:45:00,438.345,438.47,438.22,438.31,58219.0
2020-08-03 11:46:00,438.32,438.4068,437.87,437.975,98605.0
2020-08-03 11:47:00,437.99,438.13,437.84,438.015,82734.0
2020-08-03 11:48:00,438.01,438.36,437.92,438.15,88288.0
2020-08-03 11:49:00,438.19,438.2,437.69,437.77,83340.0
2020-08-03 11:50:00,437.785,437.935,437.66,437.83,68668.0
2020-08-03 11:51:00,437.82,438.07,437.7169,438.06,82532.0
2020-08-03 11:52:00,438.02,438.3,437.78,438.22,95722.0
2020-08-03 11:53:00,438.27,438.59,438.0,438.575,109347.0
2020-08-03 11:54:00,438.575,439.06,438.47,439.015,109485.0
2020-08-03 11:55:00,439.01,439.06,438.62,438.635,78059.0
2020-08-03 11:56:00,438.6438,439.1,438.58,439.1,81998.0
2020-08-03 11:57:00,439.0899,439.1,438.75,438.795,75474.0
2020-08-03 11:58:00,438.7811,439.0324,438.7401,438.8534,58453.0
2020-08-03 11:59:00,438.86,439.16,438.75,438.785,110254.0
2020-08-03 12:00:00,438.7817,439.41,438.65,439.3842,124830.0
2020-08-03 12:01:00,439.41,439.45,439.02,439.1468,94988.0
2020-08-03 12:02:00,439.14,439.14,438.47,438.755,105359.0
2020-08-03 12:03:00,438.7494,438.81,438.36,438.545,82661.0
2020-08-03 12:04:00,438.54,438.98,438.45,438.91,73751.0
2020-08-03 12:05:00,438.93,439.06,438.82,439.0309,80530.0
2020-08-03 12:06:00,439.035,439.17,438.8,439.135,75950.0
2020-08-03 12:07:00,439.11,439.66,439.11,439.38,143287.0
2020-08-03 12:08:00,439.37,439.55,439.18,439.18,87054.0
2020-08-03 12:09:00,439.18,439.2324,438.9247,439.15,78116.0
2020-08-03 12:10:00,439.15,439.39,439.08,439.33,62243.0
2020-08-03 12:11:00,439.31,439.34,438.59,438.61,111414.0
2020-08-03 12:12:00,438.5956,438.6524,438.25,438.335,122043.0
2020-08-03 12:13:00,438.335,438.74,438.3,438.5179,94869.0
2020-08-03 12:14:00,438.5191,439.06,438.47,438.93,75953.0
2020-08-03 12:15:00,438.91,439.04,438.63,438.925,81821.0
2020-08-03 12:16:00,438.981,438.981,438.43,438.58,102014.0
2020-08-03 12:17:00,438.61,438.64,438.04,438.13,116102.0
2020-08-03 12:18:00,438.1285,438.2678,437.94,437.965,104091.0
2020-08-03 12:19:00,438.02,438.36,437.95,438.28,90886.0
2020-08-03 12:20:00,438.28,438.43,437.97,438.18,77034.0
2020-08-03 12:21:00,438.24,438.33,438.0871,438.175,55438.0
2020-08-03 12:22:00,438.15,438.2,437.96,438.09,92644.0
2020-08-03 12:23:00,438.1338,438.36,438.11,438.3,59473.0
